,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (°C),Air temperature (°F),Ta_h (°C),Ta_h (°F),Ta_m (°C),Ta_m (°F),Ta_l (°C),Ta_l (°F),Operative temperature (°C),Operative temperature (°F),Radiant temperature (°C),Radiant temperature (°F),Globe temperature (°C),Globe temperature (°F),Tg_h (°C),Tg_h (°F),Tg_m (°C),Tg_m (°F),Tg_l (°C),Tg_l (°F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject´s height (cm),Subject´s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (°C),Outdoor monthly air temperature (°F),Database
58,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,52,NA,-1,1,no change,NA,no change,5,-0.2,6,24.34,0.57,1,NA,NA,NA,NA,26.9,80.4,26.9,80.4,26.1,78.9,26.2,79.2,NA,NA,NA,NA,25.2,77.4,25.2,77.4,25,76.9,25,77,33,NA,NA,0.08,14.85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
59,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,38,NA,1.5,1,cooler,NA,no change,4,0.1,5,25.61,0.57,1,NA,NA,NA,NA,26,78.8,26,78.8,26,78.9,26.1,79,NA,NA,NA,NA,25.9,78.7,25.9,78.7,25.9,78.6,25.9,78.6,53.4,NA,NA,0.11,21.91,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
60,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,42,NA,1,1,no change,NA,no change,5,0.7,15,27.76,0.57,1.7,NA,NA,NA,NA,25.6,78.1,25.6,78.1,25.2,77.3,25.2,77.4,NA,NA,NA,NA,24.5,76,24.5,76,24.4,75.8,24.4,75.9,34.7,NA,NA,0.08,16.72,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
61,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,36,NA,1,1,cooler,NA,more,3,-0.5,11,23.69,0.57,1,NA,NA,NA,NA,24.2,75.5,24.2,75.5,24.3,75.8,24.4,75.9,NA,NA,NA,NA,24.3,75.7,24.3,75.7,24.3,75.8,24.3,75.8,42.1,NA,NA,0.07,14.67,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,28.9,84,Database 2
62,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,36,NA,1.5,1,cooler,NA,more,3,-0.4,9,23.98,0.57,1,NA,NA,NA,NA,25.8,78.4,25.8,78.4,25.5,77.9,25.4,77.8,NA,NA,NA,NA,24.9,76.8,24.9,76.8,24.7,76.5,24.7,76.5,34.5,NA,NA,0.1,19.98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,28.9,84,Database 2
63,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,40,NA,0,1,no change,NA,more,5,-0.7,16,23.11,0.57,1,NA,NA,NA,NA,23.6,74.4,23.6,74.4,23.8,74.8,23.8,74.9,NA,NA,NA,NA,23.7,74.7,23.7,74.7,23.8,74.8,23.8,74.8,45.9,NA,NA,0.06,11.94,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,28.9,84,Database 2
64,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,46,NA,0,1,no change,NA,no change,6,-0.3,7,24.09,0.57,1,NA,NA,NA,NA,26.3,79.4,26.3,79.4,25.7,78.3,25.8,78.4,NA,NA,NA,NA,24.7,76.5,24.7,76.5,24.7,76.4,24.7,76.4,34,NA,NA,0.04,8.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,28.9,84,Database 2
65,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,43,NA,-1,1,no change,NA,no change,5,-1,28,22.35,0.57,1,NA,NA,NA,NA,22.6,72.7,22.6,72.7,22.9,73.2,23,73.3,NA,NA,NA,NA,23,73.4,23,73.4,23.1,73.6,23.1,73.6,37.6,NA,NA,0.1,19.98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,28.9,84,Database 2
66,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,29,NA,1,1,cooler,NA,less,NA,-0.3,7,24.33,0.57,1.1,NA,NA,NA,NA,24.9,76.9,24.9,76.9,24.9,76.8,24.9,76.9,NA,NA,NA,NA,24.9,76.9,24.9,76.9,24.8,76.7,24.8,76.7,34.3,NA,NA,0.11,21.43,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
67,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,43,NA,0,1,no change,NA,no change,5,-0.3,7,24.6,0.57,1,NA,NA,NA,NA,25.5,77.9,25.5,77.9,25.5,77.9,25.5,77.9,NA,NA,NA,NA,25.5,77.9,25.5,77.9,25.3,77.6,25.3,77.6,34.7,NA,NA,0.15,29.55,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
